alpha,T_max,T_exp,T_scale,objective1,objective2
0.7,0.10000002,0.2901773,1.0,-6.378723223455819,0.8621823108642104
0.7,0.10000002,0.29447082,1.0,-6.794920291155568,0.6067260162391129
0.7,0.10000002,0.3010318,1.0,-10.909428659549668,0.7491231982177144
0.7,0.10000002,0.2936072,1.0,-7.319842478575949,0.4989751465308522
0.7,0.10000002,0.29222718,1.0,-6.088390490047382,0.7536183753461938
0.7,0.10000002,0.30069765,1.0,-11.008417073691176,0.6350640463724052
0.7,0.10000002,0.29582202,1.0,-6.678010604472147,0.6415965755735589
0.7,0.10000002,0.2977611,1.0,-7.668396593302811,0.9427915290835186
0.8,0.10000002,0.8040421,1.0,-6.97484001364878,4.6197941917086105
0.8,0.10000002,0.81993926,1.0,-6.880068193620031,4.839023384489261
0.8,0.10000002,0.82080543,1.0,-6.953264433124222,4.528697279097976
0.8,0.10000002,0.81050944,1.0,-5.503050529594918,4.21891802123122
0.8,0.10000002,0.8148471,1.0,-6.095113958514449,4.094426481974339
0.8,0.10000002,0.8145931,1.0,-5.400873329549199,4.627011040439772
0.8,0.10000002,0.8328577,1.0,-5.898820970762057,5.387505207187982
0.8,0.10000002,0.8350748,1.0,-7.197134514614784,4.978982595026183
0.8,0.10000002,0.78536385,1.0,-5.625817172787777,5.178623019197309
0.8,0.10000002,0.82058,1.0,-5.033805522622882,4.495542026167175
0.9,0.055313673,0.0,0.6872449,-18.97578937236844,2.8319829849189
0.9,0.026611095,0.0,0.6590273,-15.187064577882625,5.411503289713978
0.9,0.09985267,0.0,0.68986136,-22.96287593516761,2.288404389270532
0.9,0.024134703,0.0,0.6531916,-10.16589755432,6.499875384228281
0.9,0.05197742,0.0,0.67491335,-17.457620096076006,3.311952462601434
0.9,0.023572592,0.0,0.65203166,-24.792449920369595,5.746508603444449
0.9,0.03990536,0.0,0.68863577,-13.938496291740561,2.2703957210716785
0.9,0.060747374,0.0,0.66248655,-20.462879885919097,4.709311142004892
0.9,0.04956911,0.0,0.6622784,-17.324973131771294,4.895691429666339
0.9,0.061312936,0.0,0.65660334,-19.784413353842048,5.70634072343611
